index,season,player,team,innings,balls,overs,runs_conceeded,wickets,economy,average,strike_rate
250579,2015,SL Malinga,Mumbai Indians,15,360,60.0,444,24.0,7.4,18.5,15.0
250586,2015,R Vinay Kumar,Mumbai Indians,13,261,43.3,368,7.0,8.46,52.57,37.29
250592,2015,CJ Anderson,Mumbai Indians,2,24,4.0,33,1.0,8.25,33.0,24.0
250610,2015,JJ Bumrah,Mumbai Indians,4,90,15.0,184,3.0,12.27,61.33,30.0
250616,2015,PP Ojha,Mumbai Indians,1,12,2.0,23,,11.5,,
250622,2015,Harbhajan Singh,Mumbai Indians,15,342,57.0,446,18.0,7.82,24.78,19.0
250692,2015,JA Morkel,Delhi Daredevils,4,72,12.0,109,3.0,9.08,36.33,24.0
250698,2015,NM Coulter-Nile,Delhi Daredevils,11,255,42.3,321,15.0,7.55,21.4,17.0
250705,2015,DJ Muthuswami,Delhi Daredevils,6,84,14.0,101,4.0,7.21,25.25,21.0
250730,2015,Imran Tahir,Delhi Daredevils,10,213,35.3,314,15.0,8.85,20.93,14.2
250736,2015,A Mishra,Delhi Daredevils,12,241,40.1,310,9.0,7.72,34.44,26.78
250754,2015,JP Duminy,Delhi Daredevils,9,102,17.0,126,8.0,7.41,15.75,12.75
250815,2015,A Nehra,Chennai Super Kings,16,372,62.0,449,22.0,7.24,20.41,16.91
250821,2015,MM Sharma,Chennai Super Kings,16,342,57.0,481,14.0,8.44,34.36,24.43
250852,2015,IC Pandey,Chennai Super Kings,10,186,31.0,223,11.0,7.19,20.27,16.91
250858,2015,R Ashwin,Chennai Super Kings,13,234,39.0,228,10.0,5.85,22.8,23.4
250888,2015,DJ Bravo,Chennai Super Kings,16,314,52.2,426,26.0,8.14,16.38,12.08
250940,2015,Sandeep Sharma,Kings XI Punjab,14,300,50.0,350,13.0,7.0,26.92,23.08
250946,2015,Anureet Singh,Kings XI Punjab,14,310,51.4,465,15.0,9.0,31.0,20.67
250970,2015,AR Patel,Kings XI Punjab,14,281,46.5,392,13.0,8.37,30.15,21.62
250983,2015,Karanveer Singh,Kings XI Punjab,4,84,14.0,157,1.0,11.21,157.0,84.0
250989,2015,MG Johnson,Kings XI Punjab,9,218,36.2,342,10.0,9.41,34.2,21.8
251068,2015,TG Southee,Rajasthan Royals,7,168,28.0,247,6.0,8.82,41.17,28.0
251075,2015,CH Morris,Rajasthan Royals,11,252,42.0,325,14.0,7.74,23.21,18.0
251088,2015,DS Kulkarni,Rajasthan Royals,11,210,35.0,277,13.0,7.91,21.31,16.15
251094,2015,JP Faulkner,Rajasthan Royals,13,270,45.0,426,8.0,9.47,53.25,33.75
251113,2015,PV Tambe,Rajasthan Royals,10,204,34.0,266,7.0,7.82,38.0,29.14
251119,2015,STR Binny,Rajasthan Royals,10,114,19.0,140,5.0,7.37,28.0,22.8
251195,2015,B Kumar,Sunrisers Hyderabad,14,310,51.4,407,18.0,7.88,22.61,17.22
251201,2015,TA Boult,Sunrisers Hyderabad,7,168,28.0,236,9.0,8.43,26.22,18.67
251222,2015,I Sharma,Sunrisers Hyderabad,4,84,14.0,159,1.0,11.36,159.0,84.0
251230,2015,KV Sharma,Sunrisers Hyderabad,14,239,39.5,332,10.0,8.33,33.2,23.9
251249,2015,RS Bopara,Sunrisers Hyderabad,7,120,20.0,160,6.0,8.0,26.67,20.0
251255,2015,Parvez Rasool,Sunrisers Hyderabad,2,30,5.0,31,1.0,6.2,31.0,30.0
251414,2015,RA Jadeja,Chennai Super Kings,15,256,42.4,330,11.0,7.73,30.0,23.27
251447,2015,SA Abbott,Royal Challengers Bangalore,2,30,5.0,57,,11.4,,
251453,2015,HV Patel,Royal Challengers Bangalore,14,263,43.5,328,17.0,7.48,19.29,15.47
251472,2015,VR Aaron,Royal Challengers Bangalore,5,104,17.2,177,3.0,10.21,59.0,34.67
251478,2015,AN Ahmed,Royal Challengers Bangalore,3,72,12.0,128,1.0,10.67,128.0,72.0
251496,2015,DJG Sammy,Royal Challengers Bangalore,2,18,3.0,25,,8.33,,
251502,2015,YS Chahal,Royal Challengers Bangalore,14,281,46.5,415,23.0,8.86,18.04,12.22
251600,2015,KC Cariappa,Kolkata Knight Riders,1,12,2.0,28,1.0,14.0,28.0,12.0
251612,2015,YK Pathan,Kolkata Knight Riders,5,60,10.0,97,2.0,9.7,48.5,30.0
251716,2015,DJ Hooda,Rajasthan Royals,7,91,15.1,129,1.0,8.51,129.0,91.0
251812,2015,JD Unadkat,Delhi Daredevils,1,18,3.0,30,,10.0,,
251836,2015,AD Mathews,Delhi Daredevils,10,180,30.0,246,7.0,8.2,35.14,25.71
251893,2015,Yuvraj Singh,Delhi Daredevils,6,54,9.0,72,1.0,8.0,72.0,54.0
251943,2015,P Suyal,Mumbai Indians,3,60,10.0,95,,9.5,,
251980,2015,J Suchith,Mumbai Indians,12,234,39.0,337,10.0,8.64,33.7,23.4
252023,2015,KA Pollard,Mumbai Indians,8,76,12.4,120,3.0,9.47,40.0,25.33
252121,2015,R Dhawan,Kings XI Punjab,5,72,12.0,110,1.0,9.17,110.0,72.0
252219,2015,P Kumar,Sunrisers Hyderabad,12,216,36.0,329,7.0,9.14,47.0,30.86
252280,2015,A Ashish Reddy,Sunrisers Hyderabad,4,36,6.0,50,3.0,8.33,16.67,12.0
252610,2015,S Gopal,Mumbai Indians,1,13,2.1,23,1.0,10.62,23.0,13.0
252662,2015,PJ Cummins,Kolkata Knight Riders,3,60,10.0,97,1.0,9.7,97.0,60.0
252694,2015,GB Hogg,Kolkata Knight Riders,6,126,21.0,144,9.0,6.86,16.0,14.0
252823,2015,P Negi,Chennai Super Kings,10,180,30.0,252,6.0,8.4,42.0,30.0
252830,2015,RG More,Chennai Super Kings,2,35,5.5,59,1.0,10.11,59.0,35.0
253103,2015,GJ Maxwell,Kings XI Punjab,7,60,10.0,97,2.0,9.7,48.5,30.0
253652,2015,DW Steyn,Sunrisers Hyderabad,6,114,19.0,170,3.0,8.95,56.67,38.0
254051,2015,NLTC Perera,Kings XI Punjab,2,36,6.0,55,1.0,9.17,55.0,36.0
254123,2015,Ankit Sharma,Rajasthan Royals,4,84,14.0,114,3.0,8.14,38.0,28.0
254189,2015,SR Watson,Rajasthan Royals,10,174,29.0,269,6.0,9.28,44.83,29.0
254357,2015,Iqbal Abdulla,Royal Challengers Bangalore,5,114,19.0,150,4.0,7.89,37.5,28.5
254390,2015,D Wiese,Royal Challengers Bangalore,13,254,42.2,353,16.0,8.34,22.06,15.88
254485,2015,MJ McClenaghan,Mumbai Indians,12,282,47.0,386,18.0,8.21,21.44,15.67
254547,2015,HH Pandya,Mumbai Indians,8,102,17.0,176,1.0,10.35,176.0,102.0
254908,2015,Shivam Sharma,Kings XI Punjab,1,18,3.0,44,1.0,14.67,44.0,18.0
255019,2015,R Tewatia,Rajasthan Royals,1,18,3.0,31,1.0,10.33,31.0,18.0
255115,2015,J Botha,Kolkata Knight Riders,4,60,10.0,81,1.0,8.1,81.0,60.0
255268,2015,MC Henriques,Sunrisers Hyderabad,9,150,25.0,158,11.0,6.32,14.36,13.64
255281,2015,Bipul Sharma,Sunrisers Hyderabad,3,42,7.0,50,3.0,7.14,16.67,14.0
255311,2015,MA Starc,Royal Challengers Bangalore,12,258,43.0,291,20.0,6.77,14.55,12.9
255728,2015,S Nadeem,Delhi Daredevils,2,42,7.0,43,,6.14,,
255867,2015,V Kohli,Royal Challengers Bangalore,2,11,1.5,10,,5.45,,
256747,2015,M Vijay,Kings XI Punjab,2,24,4.0,28,,7.0,,
256956,2015,Z Khan,Delhi Daredevils,7,145,24.1,156,7.0,6.46,22.29,20.71
257516,2015,SK Raina,Chennai Super Kings,5,72,12.0,93,2.0,7.75,46.5,36.0
257713,2015,SN Thakur,Kings XI Punjab,1,18,3.0,38,1.0,12.67,38.0,18.0
257815,2015,J Theron,Rajasthan Royals,1,24,4.0,40,1.0,10.0,40.0,24.0
258676,2015,GS Sandhu,Delhi Daredevils,2,48,8.0,82,1.0,10.25,82.0,48.0
258870,2015,R Bhatia,Rajasthan Royals,2,30,5.0,46,,9.2,,
