index,season,player,team,innings,runs,balls,strike_rate,dismissals,average
4795,2017,AJ Tye,Gujarat Lions,3,53,29,182.76,2.0,26.5
4823,2017,KS Williamson,Sunrisers Hyderabad,7,256,168,152.38,6.0,42.67
5056,2017,SE Marsh,Kings XI Punjab,8,264,192,137.5,8.0,33.0
5400,2017,Shakib Al Hasan,Kolkata Knight Riders,1,1,1,100.0,0.0,1.0
5509,2017,JP Faulkner,Gujarat Lions,6,54,57,94.74,4.0,13.5
5636,2017,MG Johnson,Mumbai Indians,2,20,17,117.65,0.0,20.0
5673,2017,K Rabada,Delhi Daredevils,3,55,64,85.94,3.0,18.33
6209,2017,AD Nath,Gujarat Lions,1,0,1,0.0,1.0,0.0
6358,2017,NM Coulter-Nile,Kolkata Knight Riders,3,14,12,116.67,3.0,4.67
6364,2017,Kuldeep Yadav,Kolkata Knight Riders,2,20,22,90.91,2.0,10.0
6368,2017,UT Yadav,Kolkata Knight Riders,4,10,13,76.92,0.0,10.0
6557,2017,Washington Sundar,Rising Pune Supergiant,5,9,12,75.0,1.0,9.0
6620,2017,KV Sharma,Mumbai Indians,6,49,41,119.51,6.0,8.17
6914,2017,DM Bravo,Kolkata Knight Riders,1,6,5,120.0,0.0,6.0
7238,2017,AR Bawne,Delhi Daredevils,1,12,12,100.0,0.0,12.0
7344,2017,SP Jackson,Kolkata Knight Riders,3,38,31,122.58,2.0,19.0
7476,2017,MJ Guptill,Kings XI Punjab,7,132,87,151.72,6.0,22.0
7572,2017,Anureet Singh,Kings XI Punjab,1,15,12,125.0,1.0,15.0
7932,2017,IK Pathan,Gujarat Lions,1,2,3,66.67,1.0,2.0
7968,2017,Ankit Soni,Gujarat Lions,3,7,9,77.78,2.0,3.5
8088,2017,JJ Bumrah,Mumbai Indians,2,16,12,133.33,1.0,16.0
8091,2017,SL Malinga,Mumbai Indians,2,7,3,233.33,0.0,7.0
8860,2017,PJ Sangwan,Gujarat Lions,3,2,4,50.0,2.0,1.0
10194,2017,S Kaul,Sunrisers Hyderabad,1,0,2,0.0,0.0,0.0
