index_bat,index_bowl,season,player,team,innings_bat,runs_bat,balls_bat,sr_bat,dismissals_bat,avg_bat,innings_bowl,ballys_bowl,overs_bowl,runs_bowl,wickets_bowl,economy_bowl,avg_bowl,sr_bowl
264953,,2016,Eoin Morgan,SRH,6,123,105,117.14,5,24.6,,,,,,,,
277332,,2016,Eklavya Dwivedi,GL,2,24,14,171.43,2,12,,,,,,,,
273346,,2016,Farhaan Behardien,KXIP,3,14,13,107.69,2,7,,,,,,,,
264241,,2016,Faf Du Plessis,RPS,6,206,162,127.16,6,34.33,,,,,,,,
264443,,2016,Gautam Gambhir,KKR,15,501,411,121.9,13,38.54,,,,,,,,
,264383,2016,Brad Hogg,KKR,,,,,,,5,96,16,142,4,8.88,35.5,24
272287,,2016,George Bailey,RPS,5,84,97,86.6,4,21,,,,,,,,
264592,265674,2016,Glenn Maxwell,KXIP,10,179,124,144.35,9,19.89,7,54,9,80,,8.89,,
270524,270650,2016,Gurkeerat Singh,KXIP,6,113,86,131.4,5,22.6,3,24,4,31,2,7.75,15.5,12
264116,264323,2016,Hardik Pandya,MI,9,44,63,69.84,7,6.29,10,100,16.4,153,3,9.18,51,33.33
272449,,2016,Hashim Amla,KXIP,6,157,119,131.93,6,26.17,,,,,,,,
,264910,2016,Harshal Patel,RCB,,,,,,,5,84,14,147,1,10.5,147,84
264180,264293,2016,Harbhajan Singh,MI,7,92,84,109.52,3,30.67,14,294,49,392,9,8,43.56,32.67
,264115,2016,Ishant Sharma,RPS,,,,,,,4,90,15,148,3,9.87,49.33,30
266306,266366,2016,Irfan Pathan,RPS,3,11,13,84.62,3,3.67,3,48,8,61,,7.62,,
275166,268011,2016,Imran Tahir,DD,1,5,7,71.43,1,5,4,96,16,138,5,8.62,27.6,19.2
277415,267308,2016,Iqbal Abdulla,RCB,2,37,27,137.04,0,37,8,150,25,213,6,8.52,35.5,25
264741,,2016,Ishan Kishan,GL,5,42,41,102.44,5,8.4,,,,,,,,
,265060,2016,Jagadeesha Suchith,MI,,,,,,,1,12,2,31,,15.5,,
271789,265545,2016,Jayant Yadav,DD,2,6,10,60,2,3,5,102,17,125,2,7.35,62.5,51
268661,268692,2016,Albie Morkel,RPS,1,16,9,177.78,1,16,2,30,5,66,2,13.2,33,15
264134,,2016,Jos Buttler,MI,14,255,185,137.84,11,23.18,,,,,,,,
,269621,2016,Jaydev Unadkat,KKR,,,,,,,1,18,3,49,,16.33,,
272869,264241,2016,Jasprit Bumrah,MI,2,8,11,72.73,1,8,14,312,52,406,15,7.81,27.07,20.8
270217,269992,2016,Jason Holder,KKR,4,22,19,115.79,4,5.5,4,78,13,103,2,7.92,51.5,39
266662,269343,2016,Jean-Paul Duminy,DD,8,191,156,122.44,5,38.2,5,42,7,55,2,7.86,27.5,21
266165,264551,2016,James Faulkner,GL,5,77,58,132.76,3,25.67,7,102,17,167,2,9.82,83.5,51
,264346,2016,John Hastings,KKR,,,,,,,2,40,6.4,37,2,5.55,18.5,20
264143,267921,2016,Kieron Pollard,MI,12,207,144,143.75,8,25.88,4,36,6,81,,13.5,,
270588,270625,2016,K.C. Cariappa,KXIP,2,13,11,118.18,1,13,5,102,17,159,3,9.35,53,34
