Sr.No.,Player,Nationality,Type,Season
193,William Salzmann,Overseas,Wicket-Keeper,2024
116,Aakarshit Gomel,Indian,All-Rounder,2021
255,Aakarshit Gomel,Indian,All-Rounder,2019
98,Aamir Gani,Overseas,All-Rounder,2021
364,Aamir Gani,Overseas,All-Rounder,2018
127,Aaron Hardie,Overseas,All-Rounder,2021
276,Aaron Hardie,Overseas,All-Rounder,2019
149,Abhimanyu Rana,Indian,All-Rounder,2020
216,Abhimanyu Rana,Indian,All-Rounder,2018
77,Abhishek Nayar,Indian,All-Rounder,2017
75,Abhishek Nayar,Indian,All-Rounder,2016
253,Abhishek Raut,Indian,All-Rounder,2016
66,Abul Raju,Indian,All-Rounder,2018
48,Adil Rashid,Overseas,All-Rounder,2018
232,Aditya Sarvate,Indian,All-Rounder,2018
110,Ajay Dev Goud,Indian,All-Rounder,2021
257,Ajit Chahal,Indian,All-Rounder,2019
202,Akash Bhandari,Indian,All-Rounder,2019
345,Akash Bhandari,Indian,All-Rounder,2018
218,Akash Bhandari,Indian,All-Rounder,2017
125,Akash Bhandari,Indian,All-Rounder,2016
76,Akash Parkar,Indian,All-Rounder,2019
329,Akash Parkar,Indian,All-Rounder,2018
222,Akash Sudan,Indian,All-Rounder,2018
46,Akeal Hosein,Indian,All-Rounder,2021
262,Akhil Arvind Herwadkar,Indian,All-Rounder,2019
202,Akhil Arvind Herwadkar,Indian,All-Rounder,2018
220,Akhil Arvind Herwadkar,Indian,All-Rounder,2017
247,Akshay Chandran,Indian,All-Rounder,2019
161,Akshay Karnewar,Indian,All-Rounder,2020
115,Akshay Karnewar,Indian,All-Rounder,2019
378,Akshay Karnewar,Indian,All-Rounder,2018
229,Akshay Karnewar,Indian,All-Rounder,2017
155,Akshay Solanki,Indian,All-Rounder,2020
175,Akshdeep Nath,Indian,All-Rounder,2021
167,Akshdeep Nath,Indian,All-Rounder,2020
269,Akul Pandove,Indian,All-Rounder,2019
164,Aman Khan,Indian,All-Rounder,2020
116,Aman Khan,Indian,All-Rounder,2019
186,Aman Khan,Indian,All-Rounder,2018
212,Amir Gani,Overseas,All-Rounder,2017
162,Amir Gani,Overseas,All-Rounder,2016
233,Amish Sidhu,Indian,All-Rounder,2018
265,Amit Mishra,Indian,All-Rounder,2018
148,Amit Mishra,Indian,All-Rounder,2017
327,Amit Verma,Indian,All-Rounder,2018
228,Amit Verma,Indian,All-Rounder,2017
122,Amit Verma,Indian,All-Rounder,2016
257,Amit Yadav,Indian,All-Rounder,2016
250,Amitoze Singh,Indian,All-Rounder,2017
108,Anaru Kitchen,Indian,All-Rounder,2020
30,Andile Phehlukwayo,Overseas,All-Rounder,2021
31,Andile Phehlukwayo,Overseas,All-Rounder,2020
95,Andile Phehlukwayo,Overseas,All-Rounder,2018
9,Andile Phehlukwayo,Overseas,All-Rounder,2017
112,Andre Fletcher,Overseas,All-Rounder,2018
66,Angelo Mathews,Overseas,All-Rounder,2020
5,Angelo Mathews,Overseas,All-Rounder,2019
4,Angelo Mathews,Overseas,All-Rounder,2018
111,Angelo Perera,Overseas,All-Rounder,2020
71,Angelo Perera,Overseas,All-Rounder,2017
152,Anirudha Ashok Joshi,Indian,All-Rounder,2021
114,Anirudha Ashok Joshi,Indian,All-Rounder,2019
225,Anirudha Ashok Joshi,Indian,All-Rounder,2017
132,Anirudha Ashok Joshi,Indian,All-Rounder,2016
226,Ankit Kaushik,Indian,All-Rounder,2020
229,Ankit Kaushik,Indian,All-Rounder,2018
118,Ankit Kaushik,Indian,All-Rounder,2017
243,Ankit Nagendra Sharma,Indian,All-Rounder,2016
205,Ankit Sharma,Indian,All-Rounder,2021
232,Ankit Sharma,Indian,All-Rounder,2020
99,Ankit Sharma,Indian,All-Rounder,2019
223,Ankit Soni,Indian,All-Rounder,2017
203,Ansh Patel,Indian,All-Rounder,2021
55,Anton Devcich,Overseas,All-Rounder,2017
88,Anton Devcich,Overseas,All-Rounder,2016
396,Antony Dhas,Indian,All-Rounder,2018
242,Antony Dhas,Indian,All-Rounder,2017
72,Antony Dhas,Indian,All-Rounder,2016
100,Anustup Majumdar,Indian,All-Rounder,2021
287,Anustup Majumdar,Indian,All-Rounder,2018
273,Arindam Ghosh,Indian,All-Rounder,2017
117,Arjit Gupta,Indian,All-Rounder,2021
173,Arjun Azad,Indian,All-Rounder,2020
237,Arjun Nair,Indian,All-Rounder,2018
221,Arjun Sharma,Indian,All-Rounder,2018
114,Arshdeep Brar,Indian,All-Rounder,2021
109,Arun Chaprana,Indian,All-Rounder,2021
248,Arun Chaprana,Indian,All-Rounder,2019
214,Arun Chaprana,Indian,All-Rounder,2018
93,Asela Gunarathna,Overseas,All-Rounder,2018
276,Ashish Reddy,Indian,All-Rounder,2018
247,Ashish Reddy,Indian,All-Rounder,2017
137,Ashley Nurse,Indian,All-Rounder,2018
166,Ashok Menaria,Indian,All-Rounder,2021
259,Ashok Menaria,Indian,All-Rounder,2019
204,Ashok Menaria,Indian,All-Rounder,2018
241,Ashok Menaria,Indian,All-Rounder,2017
206,Ashok Menaria,Indian,All-Rounder,2016
71,Ashton Agar,Overseas,All-Rounder,2020
77,Ashton Agar,Overseas,All-Rounder,2018
40,Ashton Agar,Overseas,All-Rounder,2016
77,Ashton Turner,Overseas,All-Rounder,2020
107,Ashton Turner,Overseas,All-Rounder,2017
172,Atharva Ankolekar,Indian,All-Rounder,2021
206,Atharwa Taide,Indian,All-Rounder,2019
140,Atit Sheth,Indian,All-Rounder,2021
301,Atit Sheth,Indian,All-Rounder,2019
311,Atit Sheth,Indian,All-Rounder,2018
248,Atit Sheth,Indian,All-Rounder,2017
137,Ayush Badoni,Indian,All-Rounder,2021
65,Ayush Badoni,Indian,All-Rounder,2020
95,Ayush Badoni,Indian,All-Rounder,2019
146,Ayush Jamwal,Indian,All-Rounder,2020
170,Azhar Shaikh,Indian,All-Rounder,2017
119,Azim Kazi,Indian,All-Rounder,2021
228,Azim Kazi,Indian,All-Rounder,2020
116,B Indrajith,Indian,All-Rounder,2016
231,Baba Aparajith,Indian,All-Rounder,2021
217,Baba Aparajith,Indian,All-Rounder,2020
72,Baba Aparajith,Indian,All-Rounder,2019
409,Baba Aparajith,Indian,All-Rounder,2018
186,Bandeep Singh,Overseas,All-Rounder,2016
13,Ben Cutting,Overseas,All-Rounder,2020
138,Benny Howell,Overseas,All-Rounder,2020
254,Biplab Samantray,Overseas,All-Rounder,2017
227,Biplab Samantray,Overseas,All-Rounder,2016
207,Bipul Sharma,Indian,All-Rounder,2019
156,C Hari Nishaanth,Indian,All-Rounder,2020
65,Cameron Delport,Overseas,All-Rounder,2019
373,Cameron Gannon,Overseas,All-Rounder,2018
28,Carlos Brathwaite,Overseas,All-Rounder,2021
23,Carlos Brathwaite,Overseas,All-Rounder,2020
108,Chaitanya Bishnoi,Indian,All-Rounder,2021
224,Chaitanya Bishnoi,Indian,All-Rounder,2020
286,Chaitanya Bishnoi,Indian,All-Rounder,2017
189,Chandra Pal Singh,Indian,All-Rounder,2017
198,Chandra Pal Singh,Indian,All-Rounder,2016
227,Chandrapal Chundawat,Indian,All-Rounder,2020
263,Chintan Gaja,Indian,All-Rounder,2018
224,Chirag Jani,Indian,All-Rounder,2017
123,Chirag Jani,Indian,All-Rounder,2016
267,Chirag Khurana,Indian,All-Rounder,2019
94,Chris Green,Overseas,All-Rounder,2021
190,Chris Green,Overseas,All-Rounder,2019
304,Chris Green,Overseas,All-Rounder,2018
105,Chris Green,Overseas,All-Rounder,2017
12,Chris Jordan,Overseas,All-Rounder,2019
10,Chris Jordan,Overseas,All-Rounder,2016
2,Chris Woakes,Overseas,All-Rounder,2019
293,Christiaan Jonker,Overseas,All-Rounder,2017
96,Christopher Barnwell,Overseas,All-Rounder,2016
67,Colin De Grandhomme,Overseas,All-Rounder,2021
12,Colin De Grandhomme,Overseas,All-Rounder,2020
60,Colin De Grandhomme,Overseas,All-Rounder,2017
42,Colin Munro,Overseas,All-Rounder,2021
8,Colin Munro,Overseas,All-Rounder,2020
22,Colin Munro,Overseas,All-Rounder,2017
175,Corbin Bosch,Overseas,All-Rounder,2020
82,Corey Anderson,Overseas,All-Rounder,2020
4,Corey Anderson,Overseas,All-Rounder,2019
6,Corey Anderson,Overseas,All-Rounder,2018
162,Dafedar Khizar Anwar,Indian,All-Rounder,2020
195,Dafedar Khizar Anwar,Indian,All-Rounder,2018
198,Dafedar Khizar Anwar,Indian,All-Rounder,2017
83,Dan Christian,Overseas,All-Rounder,2020
16,Dan Christian,Overseas,All-Rounder,2019
51,Daniel Sams,Overseas,All-Rounder,2020
152,Darcy Short,Overseas,All-Rounder,2019
73,Darcy Short,Overseas,All-Rounder,2020
38,Darren Sammy,Overseas,All-Rounder,2018
44,Darren Sammy,Overseas,All-Rounder,2016
41,Daryl Mitchell,Overseas,All-Rounder,2021
110,Daryl Mitchell,Overseas,All-Rounder,2020
124,Dasari Swaroop Kumar,Indian,All-Rounder,2017
31,Dasun Shanaka,Overseas,All-Rounder,2021
86,Dasun Shanaka,Overseas,All-Rounder,2020
55,Dasun Shanaka,Overseas,All-Rounder,2019
118,Dasun Shanka,Overseas,All-Rounder,2018
73,Dasun Shanka,Overseas,All-Rounder,2017
61,Dasun Shanka,Overseas,All-Rounder,2016
163,David Keelan Mathias,Overseas,All-Rounder,2016
47,David Wiese,Overseas,All-Rounder,2021
80,David Wiese,Overseas,All-Rounder,2020
22,David Wiese,Overseas,All-Rounder,2019
89,David Wiese,Overseas,All-Rounder,2018
39,David Wiese,Overseas,All-Rounder,2017
8,David Willey,Overseas,All-Rounder,2021
69,David Willey,Overseas,All-Rounder,2020
7,David Willey,Overseas,All-Rounder,2018
125,Dawid Malan,Overseas,All-Rounder,2018
408,Deepak Punia,Indian,All-Rounder,2018
126,Deeparaj Gaonkar,Indian,All-Rounder,2021
94,Dhananjaya Silva,Overseas,All-Rounder,2018
63,Dhananjaya Silva,Overseas,All-Rounder,2017
163,Dharmendrasinh Jadeja,Indian,All-Rounder,2020
113,Dharmendrasinh Jadeja,Indian,All-Rounder,2019
221,Dharmendrasinh Jadeja,Indian,All-Rounder,2017
175,Dharmendrasinh Jadeja,Indian,All-Rounder,2016
168,Dhrumil Matkar,Indian,All-Rounder,2020
122,Dhrumil Matkar,Indian,All-Rounder,2019
235,Dhruv Patel,Indian,All-Rounder,2021
206,Dhruv Shorey,Indian,All-Rounder,2021
178,Dhruv Shorey,Indian,All-Rounder,2020
188,Dhruv Shorey,Indian,All-Rounder,2017
273,Dhruva Kumar Reddy,Indian,All-Rounder,2019
115,Digvijay Deshmukh,Indian,All-Rounder,2021
101,Dikshanshu Negi,Indian,All-Rounder,2021
39,Dilruwan Perera,Overseas,All-Rounder,2016
72,Dilshan Munaweera,Overseas,All-Rounder,2018
84,Dilshan Munaweera,Overseas,All-Rounder,2016
134,Dimuth Karunarathna,Overseas,All-Rounder,2020
316,Dinesh Salunkhe,Overseas,All-Rounder,2018
110,Dinesh Salunkhe,Overseas,All-Rounder,2016
205,Diwesh Pathania,Indian,All-Rounder,2019
187,Diwesh Pathania,Indian,All-Rounder,2018
191,Diwesh Pathania,Indian,All-Rounder,2017
37,Doug Bracewell,Overseas,All-Rounder,2019
87,Doug Bracewell,Overseas,All-Rounder,2016
43,Dwaine Pretorius,Overseas,All-Rounder,2021
85,Dwaine Pretorius,Overseas,All-Rounder,2018
74,Dwaine Pretorius,Overseas,All-Rounder,2017
104,Dwaine Pretorius,Overseas,All-Rounder,2016
161,Dwayne Smith,Overseas,All-Rounder,2019
26,Dwayne Smith,Overseas,All-Rounder,2018
128,Ekant Sen,Indian,All-Rounder,2019
36,Fabian Allen,Overseas,All-Rounder,2019
220,Fabid Farook Ahmed,Overseas,All-Rounder,2018
290,Fabid Farook Ahmed,Overseas,All-Rounder,2017
127,Faiz Fazal,Overseas,All-Rounder,2016
128,Farhaan Behardien,Overseas,All-Rounder,2018
36,Farhaan Behardien,Overseas,All-Rounder,2017
19,Farveez Maharoof,Indian,All-Rounder,2017
228,Gaurav Gambir,Indian,All-Rounder,2018
232,George Garton,Overseas,All-Rounder,2021
50,George Garton,Overseas,All-Rounder,2020
39,George Linde,Overseas,All-Rounder,2021
63,George Worker,Overseas,All-Rounder,2016
124,Gerald Coetzee,Overseas,All-Rounder,2021
219,Gerald Coetzee,Overseas,All-Rounder,2020
131,Govinda Poddar,Indian,All-Rounder,2021
389,Govinda Poddar,Indian,All-Rounder,2018
58,Graeme Cremer,Overseas,All-Rounder,2018
10,Grant Elliott,Overseas,All-Rounder,2017
70,Grant Elliott,Overseas,All-Rounder,2016
245,Gurinder Singh,Indian,All-Rounder,2020
133,Gurinder Singh,Indian,All-Rounder,2019
111,Gurinder Singh,Indian,All-Rounder,2016
61,Gurkeerat Singh Mann,Indian,All-Rounder,2021
248,Hanuma Vihari,Indian,All-Rounder,2018
160,Hanuma Vihari,Indian,All-Rounder,2017
167,Hardik Sethi,Indian,All-Rounder,2017
122,Harsh Tyagi,Indian,All-Rounder,2021
236,Harsh Tyagi,Indian,All-Rounder,2020
136,Harsh Tyagi,Indian,All-Rounder,2019
32,Henry Davids,Indian,All-Rounder,2016
20,Hilton Cartwright,Overseas,All-Rounder,2021
115,Hilton Cartwright,Overseas,All-Rounder,2018
275,Himanshu Bisht,Indian,All-Rounder,2020
301,Himmat Singh,Indian,All-Rounder,2018
200,Himmat Singh,Indian,All-Rounder,2017
73,Hiten Dalal,Indian,All-Rounder,2019
237,Hiten Dalal,Indian,All-Rounder,2017
173,Hiten Dalal,Indian,All-Rounder,2016
310,Imtiaz Ahmed,Indian,All-Rounder,2018
322,Indrajith Baba,Indian,All-Rounder,2018
219,Indrajith Baba,Indian,All-Rounder,2017
252,Iqbal Abdullah,Indian,All-Rounder,2019
177,Irfan Pathan,Indian,All-Rounder,2019
102,Irfan Pathan,Indian,All-Rounder,2018
21,Irfan Pathan,Indian,All-Rounder,2017
32,Isuru Udana,Overseas,All-Rounder,2021
189,Isuru Udana,Overseas,All-Rounder,2019
154,Isuru Udana,Overseas,All-Rounder,2018
76,Isuru Udana,Overseas,All-Rounder,2016
177,J. Kousik,Indian,All-Rounder,2016
180,Jack Prestwidge,Overseas,All-Rounder,2020
123,Jack Prestwidge,Overseas,All-Rounder,2019
48,Jack Wildermuth,Overseas,All-Rounder,2021
180,Jack Wildermuth,Overseas,All-Rounder,2019
205,Jack Wildermuth,Overseas,All-Rounder,2018
84,Jack Wildermuth,Overseas,All-Rounder,2017
53,Jacques Snyman,Overseas,All-Rounder,2021
142,Jalaj Saxena,Indian,All-Rounder,2020
267,Jalaj Saxena,Indian,All-Rounder,2018
111,Jalaj Saxena,Indian,All-Rounder,2017
229,Jalaj Saxena,Indian,All-Rounder,2016
134,Jamaluddin Syed Mohammad,Indian,All-Rounder,2017
105,Jamaluddin Syed Mohammad,Indian,All-Rounder,2016
21,James Faulkner,Overseas,All-Rounder,2021
96,James Faulkner,Overseas,All-Rounder,2020
8,James Faulkner,Overseas,All-Rounder,2019
1,James Faulkner,Overseas,All-Rounder,2018
135,James Fuller,Overseas,All-Rounder,2020
62,James Fuller,Overseas,All-Rounder,2019
26,James Neesham,Overseas,All-Rounder,2019
24,James Neesham,Overseas,All-Rounder,2017
28,James Neesham,Overseas,All-Rounder,2016
59,Jamie Overton,Overseas,All-Rounder,2019
143,Jaskarandeep Singh Buttar,Indian,All-Rounder,2020
206,Jaskarandeep Singh Buttar,Indian,All-Rounder,2017
11,Jason Holder,Overseas,All-Rounder,2020
25,Jason Holder,Overseas,All-Rounder,2019
16,Jason Holder,Overseas,All-Rounder,2018
2,Jason Holder,Overseas,All-Rounder,2017
209,Jason Sangha,Overseas,All-Rounder,2019
251,Jason Smith,Overseas,All-Rounder,2019
277,Jatin Saxena,Indian,All-Rounder,2019
118,Jatin Saxena,Indian,All-Rounder,2016
149,Jay Gokul Bista,Indian,All-Rounder,2021
243,Jay Gokul Bista,Indian,All-Rounder,2019
405,Jay Gokul Bista,Indian,All-Rounder,2018
232,Jay Gokul Bista,Indian,All-Rounder,2017
241,Jaydev Gokul Bista,Indian,All-Rounder,2016
176,Jaydev Shah,Indian,All-Rounder,2018
156,Jean-Paul Duminy,Overseas,All-Rounder,2019
109,Jeevan Mendis,Overseas,All-Rounder,2020
66,Jeevan Mendis,Overseas,All-Rounder,2019
64,Jeevan Mendis,Overseas,All-Rounder,2017
38,Jeevan Mendis,Overseas,All-Rounder,2016
76,Jesse Ryder,Overseas,All-Rounder,2017
49,Joe Denly,Overseas,All-Rounder,2018
78,Joginder Sharma,Indian,All-Rounder,2017
61,Johan Botha,Overseas,All-Rounder,2017
34,Johan Botha,Overseas,All-Rounder,2016
55,John Hastings,Overseas,All-Rounder,2018
97,Jonathan Carter,Overseas,All-Rounder,2018
59,Jonathan Carter,Overseas,All-Rounder,2017
87,Jon-Jon Trevor Smuts,Overseas,All-Rounder,2020
48,Jon-Jon Trevor Smuts,Overseas,All-Rounder,2019
136,Jon-Jon Trevor Smuts,Overseas,All-Rounder,2018
123,Josh Clarkson,Overseas,All-Rounder,2021
74,Juan Theron,Overseas,All-Rounder,2016
227,Karan Kaila,Indian,All-Rounder,2018
116,Karan Kaila,Indian,All-Rounder,2017
177,Karan Sharma,Indian,All-Rounder,2021
99,Karanveer Kaushal,Indian,All-Rounder,2021
119,Karanveer Kaushal,Indian,All-Rounder,2019
368,Karanveer Singh,Indian,All-Rounder,2018
281,Karanveer Singh,Indian,All-Rounder,2017
79,Karim Janat,Overseas,All-Rounder,2021
102,Karim Janat,Overseas,All-Rounder,2020
74,Karim Janat,Overseas,All-Rounder,2019
233,Kartik Kakade,Indian,All-Rounder,2021
190,Kaushal Singh,Indian,All-Rounder,2017
151,Kavish Panchal,Indian,All-Rounder,2017
26,Keemo Paul,Overseas,All-Rounder,2021
93,Kevin O'Brien,Overseas,All-Rounder,2016
159,Kevon Cooper,Overseas,All-Rounder,2018
82,Kevon Cooper,Overseas,All-Rounder,2016
195,Khalid Ahmad,Indian,All-Rounder,2017
200,Khrievitso Kense,Overseas,All-Rounder,2021
400,Kishore Pramod Kamath,Indian,All-Rounder,2018
236,Kishore Pramod Kamath,Indian,All-Rounder,2017
103,Kshitiz Sharma,Indian,All-Rounder,2021
151,Kshitiz Sharma,Indian,All-Rounder,2020
129,Kshitiz Sharma,Indian,All-Rounder,2019
289,Kshitiz Sharma,Indian,All-Rounder,2017
245,Kshitiz Sharma,Indian,All-Rounder,2016
279,Kuldeep Hooda,Indian,All-Rounder,2018
213,Kuldeep Hooda,Indian,All-Rounder,2017
237,Kuldeep Hooda,Indian,All-Rounder,2016
363,Kunal Chandela,Indian,All-Rounder,2018
40,Kyle Mayers,Overseas,All-Rounder,2021
127,Lalit Yadav,Indian,All-Rounder,2019
148,Lalit Yadav,Indian,All-Rounder,2019
236,Latest Kumar Patel,Indian,All-Rounder,2021
9,Lewis Gregory,Overseas,All-Rounder,2021
97,Lewis Greogry,Overseas,All-Rounder,2020
58,Lewis Greogry,Overseas,All-Rounder,2019
154,Liam Dawson,Overseas,All-Rounder,2019
172,M Abhinav,Indian,All-Rounder,2020
129,M Mohammed,Indian,All-Rounder,2021
229,M Mohammed,Indian,All-Rounder,2020
201,M. D Sarfaraz Ashraf,Indian,All-Rounder,2017
260,M. Kaushik Gandhi,Indian,All-Rounder,2017
222,M.S. Washington Sundar,Indian,All-Rounder,2017
179,M.S. Washington Sundar,Indian,All-Rounder,2016
139,Mahipal Lomror,Indian,All-Rounder,2017
68,Malcolm Waller,Indian,All-Rounder,2018
262,Manan Sharma,Indian,All-Rounder,2018
143,Manan Sharma,Indian,All-Rounder,2017
233,Manisankar Murasingh,Indian,All-Rounder,2017
255,Manjeet Kumar Chaudhary,Indian,All-Rounder,2016
20,Manoj Tiwary,Indian,All-Rounder,2016
254,Manzoor Dar,Indian,All-Rounder,2019
111,Marlon Samuels,Indian,All-Rounder,2018
15,Marnus Labuschagne,Indian,All-Rounder,2021
165,Mayank Dagar,Indian,All-Rounder,2021
154,Mayank Dagar,Indian,All-Rounder,2020
135,Mayank Dagar,Indian,All-Rounder,2019
182,Mayank Dagar,Indian,All-Rounder,2016
194,Mayank Siddana,Indian,All-Rounder,2016
185,Mayur Sanap,Indian,All-Rounder,2016
70,Mehedi Hasan Miraz,Overseas,All-Rounder,2017
163,Michael Neser, ,All-Rounder,2018
64,Midhun Sudhesan,Indian,All-Rounder,2020
208,Milind Kumar,Indian,All-Rounder,2018
238,Milind Kumar,Indian,All-Rounder,2017
208,Milind Kumar,Indian,All-Rounder,2016
106,Milind Tandon,Indian,All-Rounder,2021
258,Milind Tandon,Indian,All-Rounder,2019
411,Milind Tandon,Indian,All-Rounder,2018
187,Milind Tandon,Indian,All-Rounder,2016
62,Milinda Siriwardana,Indian,All-Rounder,2016
26,Mitchell Santner,Overseas,All-Rounder,2017
22,Mohammad Mahmudullah,Overseas,All-Rounder,2021
84,Mohammad Mahmudullah,Overseas,All-Rounder,2020
167,Mohammad Mahmudullah,Overseas,All-Rounder,2019
147,Mohammad Mahmudullah,Overseas,All-Rounder,2018
75,Mohammad Mahmudullah,Overseas,All-Rounder,2017
117,Mohammad Saifuddin,Overseas,All-Rounder,2020
69,Mohammad Shaifuddin,Overseas,All-Rounder,2021
213,Mohammed Bilal,Overseas,All-Rounder,2018
72,Moises Henriques,Overseas,All-Rounder,2020
10,Moises Henriques,Overseas,All-Rounder,2018
280,Mrinank Singh,Indian,All-Rounder,2019
257,Mrinank Singh,Indian,All-Rounder,2018
18,Muhammad Yasir Arafat,Indian,All-Rounder,2017
281,Mukesh Kumar Singh,Indian,All-Rounder,2019
113,N.Tilak Varma,Indian,All-Rounder,2021
274,N.Tilak Varma,Indian,All-Rounder,2020
122,Nachiket Bhute,Indian,All-Rounder,2021
174,Nachiket Bhute,Indian,All-Rounder,2020
59,Narsingh Deonarine,Indian,All-Rounder,2016
128,Nathan McAndrew,Overseas,All-Rounder,2021
67,Nathan McCullum,Overseas,All-Rounder,2017
48,Nathan McCullum,Overseas,All-Rounder,2016
203,Nick Buchanan,Overseas,All-Rounder,2017
158,Nikhil Chaudhary,Indian,All-Rounder,2020
129,Nikhil Dutta,Indian,All-Rounder,2016
404,Nikhil Gangta,Indian,All-Rounder,2018
266,Nikhil Gangta,Indian,All-Rounder,2017
253,Ninad Rathva,Indian,All-Rounder,2018
153,Nitin Sharma,Indian,All-Rounder,2020
206,Odean Smith,Overseas,All-Rounder,2018
43,P Malinda Pushpakumara,Overseas,All-Rounder,2017
199,Pankaj Jaswal,Indian,All-Rounder,2021
286,Pankaj Jaswal,Indian,All-Rounder,2018
231,Pankaj Jaswal,Indian,All-Rounder,2017
178,Pargat Singh,Indian,All-Rounder,2016
239,Parikshit Valsangkar,Indian,All-Rounder,2017
121,Parth Kohli,Indian,All-Rounder,2017
204,Parth Sahani,Indian,All-Rounder,2021
56,Parveez Rasool,Overseas,All-Rounder,2021
44,Parveez Rasool,Overseas,All-Rounder,2019
62,Parveez Rasool,Overseas,All-Rounder,2018
38,Parveez Rasool,Overseas,All-Rounder,2017
230,Patrick Kruger,Overseas,All-Rounder,2018
168,Paul Stirling,Overseas,All-Rounder,2019
67,Paul Stirling,Overseas,All-Rounder,2018
105,Pavan Deshpande,Indian,All-Rounder,2019
176,Pradeep Sangwan,Indian,All-Rounder,2021
157,Pranshu Vijayran,Indian,All-Rounder,2020
240,Prasanth Padmanabhan,Indian,All-Rounder,2016
150,Prashant Chopra,Indian,All-Rounder,2020
132,Pratyush Singh,Indian,All-Rounder,2021
184,Pratyush Singh,Indian,All-Rounder,2020
109,Pratyush Singh,Indian,All-Rounder,2019
349,Pratyush Singh,Indian,All-Rounder,2018
361,Praveen Dubey,Indian,All-Rounder,2018
40,Pravin Dubey,Indian,All-Rounder,2020
146,Pravin Dubey,Indian,All-Rounder,2019
155,Prayas Ray Barman,Overseas,All-Rounder,2021
147,Prayas Ray Barman,Overseas,All-Rounder,2020
201,Prerak Mankad,Indian,All-Rounder,2021
166,Prerak Mankad,Indian,All-Rounder,2020
146,Prerak Mankad,Indian,All-Rounder,2017
142,Priyank Panchal,Indian,All-Rounder,2017
112,Priyank Panchal,Indian,All-Rounder,2016
365,Pulkit Narang,Indian,All-Rounder,2018
307,Puneed Datey,Indian,All-Rounder,2018
103,Puneet Datey,Indian,All-Rounder,2019
249,Puneet Datey,Indian,All-Rounder,2018
131,Puneet Datey,Indian,All-Rounder,2017
213,R Vivek,Indian,All-Rounder,2019
309,R. Sanjay Yadav,Indian,All-Rounder,2018
178,R. Sonu Yadav,Indian,All-Rounder,2021
78,R.Sanjay Yadav,Indian,All-Rounder,2019
83,Rahmat Shah Zarmatai,Overseas,All-Rounder,2018
121,Rahul Ajay Tripathy,Indian,All-Rounder,2021
189,Rahul Ajay Tripathy,Indian,All-Rounder,2016
180,Rahul Dagar,Indian,All-Rounder,2016
120,Rahul Singh,Indian,All-Rounder,2021
256,Rahul Tewatia,Indian,All-Rounder,2016
232,Raiphi Vincent Gomez,Overseas,All-Rounder,2016
109,Rajagopal Sathish,Indian,All-Rounder,2017
158,Rajat Bhatia,Indian,All-Rounder,2018
160,Rajat Choudhary,Indian,All-Rounder,2020
215,Rajat Paliwal,Indian,All-Rounder,2018
392,Rajesh Sharma,Indian,All-Rounder,2018
230,Rajjakuddin Ahmed,Indian,All-Rounder,2021
170,Ramandeep Singh,Indian,All-Rounder,2020
40,Ramesh Mendis,Indian,All-Rounder,2017
38,Ravi Bopara,Indian,All-Rounder,2021
130,Ravi Bopara,Indian,All-Rounder,2020
11,Ravi Bopara,Indian,All-Rounder,2018
15,Ravi Bopara,Indian,All-Rounder,2016
176,Ravi Jangid,Indian,All-Rounder,2016
146,Rayad Emrit,Overseas,All-Rounder,2018
57,Rayad Emrit,Overseas,All-Rounder,2017
71,Rayad Emrit,Overseas,All-Rounder,2016
115,Raymon Reifer,Overseas,All-Rounder,2020
108,Raymon Reifer,Overseas,All-Rounder,2017
148,Ripal Patel,Indian,All-Rounder,2020
29,Rishi Dhawan,Indian,All-Rounder,2021
25,Rishi Dhawan,Indian,All-Rounder,2020
43,Rishi Dhawan,Indian,All-Rounder,2019
59,Rishi Dhawan,Indian,All-Rounder,2018
217,Rituraj Singh,Indian,All-Rounder,2017
119,Ritwik Chowdhury,Indian,All-Rounder,2017
366,Riyan Parag,Indian,All-Rounder,2018
187,Robbie Frylinck,Overseas,All-Rounder,2019
140,Robbie Frylinck,Overseas,All-Rounder,2018
93,Robbie Frylinck,Overseas,All-Rounder,2017
22,Robin Peterson,Overseas,All-Rounder,2016
306,Rohan Prem,Indian,All-Rounder,2018
157,Rohan Prem,Indian,All-Rounder,2017
254,Rohan Prem,Indian,All-Rounder,2016
174,Rohan Raje,Indian,All-Rounder,2016
163,Rohit Damodaran,Indian,All-Rounder,2021
276,Rohit Damodaran,Indian,All-Rounder,2020
192,Rohit Sharma,Indian,All-Rounder,2016
173,Rojith Ganesh,Indian,All-Rounder,2021
44,Romario Shepherd,Overseas,All-Rounder,2021
99,Romario Shepherd,Overseas,All-Rounder,2020
159,Roosh Kalaria,Indian,All-Rounder,2020
111,Roosh Kalaria,Indian,All-Rounder,2019
167,Roshon Primus,Indian,All-Rounder,2018
113,Rovman Powell,Overseas,All-Rounder,2020
178,Rovman Powell,Overseas,All-Rounder,2019
98,Rovman Powell,Overseas,All-Rounder,2018
227,Rujul Haren Bhatt,Indian,All-Rounder,2017
138,Rush Kalaria,Indian,All-Rounder,2017
228,Rush Kalaria,Indian,All-Rounder,2016
165,Ryan Mclaren,Overseas,All-Rounder,2019
173,Ryan McLaren,Overseas,All-Rounder,2019
61,Ryan McLaren,Overseas,All-Rounder,2018
305,Ryan Ninan,Overseas,All-Rounder,2018
